representation,model_name,n_clusters_requested,n_clusters_found,silhouette,davies_bouldin,calinski_harabasz,mean_dominant_purity,mean_scoliosis_rate,scoliosis_dominant_clusters,quality_score,bic,aic
standard_scaled,bayesian_gmm_full,24,24,0.0050315107218921185,2.144970787720003,67.3748779296875,0.7570381161491948,0.7081223172333959,20,0.30886760899151633,,
minmax_kpca_poly,gmm_full,24,24,0.023486405611038208,2.5422996785114678,97.31524658203125,0.7569990315509036,0.7305509175747114,21,0.3082442131090743,-104202.47654186547,-125129.92169551828
robust_pca,bayesian_gmm_diag,24,22,-0.018814483657479286,1.8189487324776707,63.2686767578125,0.7577182244678577,0.7255794771392371,20,0.3075344930389662,,
robust_kpca_linear,bayesian_gmm_diag,24,22,-0.018814489245414734,1.818948718660669,63.268680572509766,0.7577182244678577,0.7255794771392371,20,0.307534490959085,,
minmax_kpca_rbf,bayesian_gmm_full,24,24,0.013281495310366154,2.2482914756796393,99.03094482421875,0.7486006237585,0.7135783139568815,19,0.30752039665540776,,
minmax_scaled,gmm_full,24,24,0.00745089678093791,2.393166798286475,93.76119995117188,0.7670803466380853,0.6767581494378757,20,0.3071544937560949,-95993.98310378329,-127593.22812876219
minmax_kpca_cosine,bayesian_gmm_full,24,24,0.019385015591979027,2.3439712311766616,90.83929443359375,0.7433928759985724,0.678786912193201,20,0.30650252854734994,,
robust_kpca_sigmoid,gmm_full,24,24,0.016262754797935486,2.564035211280022,80.49547576904297,0.7626678836121522,0.7433180384109139,22,0.3062638152077425,-116240.51686497216,-137167.96201862497
minmax_kpca_rbf,gmm_full,24,24,0.016019925475120544,2.401135402841184,100.93533325195312,0.7503681636799753,0.7304440650082484,22,0.30582428096985026,-130952.48505271337,-151879.93020636617
minmax_pca,gmm_full,24,24,0.005994449835270643,2.361848511778119,91.38621520996094,0.7620294283227912,0.7403802441736071,22,0.3056701813829942,-49715.584573967615,-70643.02972762042
minmax_kpca_linear,gmm_full,24,24,0.005764566827565432,2.361818608793437,91.40758514404297,0.761982721659157,0.7403335375099728,22,0.30555338348821887,-49715.45974423934,-70642.90489789215
minmax_kpca_rbf,bayesian_gmm_diag,24,20,0.004996988456696272,2.207110039859235,94.95028686523438,0.750391034266218,0.7403027955572898,17,0.3053177549590659,,
standard_scaled,gmm_diag,24,24,0.010743170976638794,2.5625159036974683,85.37100982666016,0.7618213435310173,0.7384725291727007,21,0.3035559553197855,72171.87314388328,66568.03806187818
minmax_kpca_poly,bayesian_gmm_full,24,24,0.018181219696998596,2.560904020485783,91.95850372314453,0.7495904860009213,0.726912890372506,22,0.3032655855438138,,
standard_kpca_linear,bayesian_gmm_full,24,24,0.004870009142905474,2.4901363326082038,72.92003631591797,0.764223242007627,0.7359860114073129,20,0.3030889163828802,,
standard_pca,bayesian_gmm_full,24,24,0.004870004486292601,2.4901364481461594,72.92002868652344,0.764223242007627,0.7359860114073129,20,0.3030889119161405,,
robust_kpca_linear,gmm_full,24,24,0.006270076148211956,2.3039035416292797,84.61421203613281,0.7472732531151909,0.7311520409939788,22,0.3026715788509553,72403.66292563987,51476.21777198706
robust_pca,gmm_full,24,24,0.006270079407840967,2.303903652873156,84.61421203613281,0.7472732531151909,0.7311520409939788,22,0.30267157777001147,72403.67605684992,51476.23090319711
minmax_scaled,bayesian_gmm_diag,24,22,-0.017115948721766472,2.1802000723411754,104.23899841308594,0.7683272907516823,0.70913067341553,20,0.30140741660004894,,
robust_kpca_sigmoid,bayesian_gmm_diag,24,17,-0.03758278116583824,1.939106547709658,69.13125610351562,0.7761444279416146,0.7604282177934332,16,0.3009909397589882,,
minmax_kpca_poly,bayesian_gmm_diag,24,20,-0.05360160022974014,1.9670630131016282,71.07901000976562,0.8015577922480096,0.7555125945078965,18,0.3006050235759067,,
minmax_kpca_cosine,gmm_full,24,24,0.006948008667677641,2.4254114851886293,88.48514556884766,0.746164799449554,0.6982571900939084,21,0.29995997605439934,-101318.50281028652,-122245.94796393932
minmax_scaled,gmm_diag,24,24,0.007763311266899109,2.7083382214023324,93.39904022216797,0.7619187447742425,0.7161587656199545,20,0.2994847549768114,-88511.87258539897,-94115.70766740407
minmax_kpca_linear,bayesian_gmm_full,24,24,0.0008151567890308797,2.3334337607391027,84.60688018798828,0.7445737588300249,0.7215339018615964,21,0.2987366886555177,,
minmax_pca,bayesian_gmm_full,24,24,0.0008151399670168757,2.333433466123354,84.60688781738281,0.7445737588300249,0.7215339018615964,21,0.2987366877140669,,
robust_kpca_cosine,bayesian_gmm_diag,24,20,-0.05926252529025078,1.756341260436498,63.03172302246094,0.7638311667285889,0.7235852128608686,17,0.29318115837572445,,
standard_kpca_linear,gmm_full,24,24,-0.0032736274879425764,2.6156973996691915,80.95777130126953,0.75029624835596,0.7424506660422926,22,0.2927586964184192,83246.10369875346,62318.658545100654
standard_pca,gmm_full,24,24,-0.0032736272551119328,2.6156975548005907,80.95775604248047,0.75029624835596,0.7424506660422926,22,0.29275869355661654,83246.12586362284,62318.68070997003
standard_kpca_linear,bayesian_gmm_diag,24,20,-0.057755567133426666,1.7992327791634164,79.14460754394531,0.762637550208805,0.7456170696333696,17,0.29211144579387566,,
standard_pca,bayesian_gmm_diag,24,20,-0.05775557458400726,1.7992328391512635,79.14458465576172,0.762637550208805,0.7456170696333696,17,0.2921114405271879,,
robust_scaled,gmm_diag,24,24,-0.01920243352651596,2.676878786863222,80.7154312133789,0.7546667851737195,0.7164115352905628,20,0.2857513912615498,61494.56445741851,55890.729375413415
standard_kpca_cosine,bayesian_gmm_diag,24,19,-0.08156034350395203,1.7373641197423282,60.839508056640625,0.760675855171993,0.7037600676726696,14,0.2828293361380819,,
robust_scaled,gmm_full,24,24,-0.028674989938735962,2.408059578863796,65.97146606445312,0.7411041990747896,0.7049051550632456,19,0.28278303935598015,35467.76966902004,3868.5246440411456
minmax_pca,bayesian_gmm_diag,24,18,-0.09014717489480972,1.9605606319479014,89.26567077636719,0.7746764578742655,0.6913431245409322,16,0.27628017429994317,,
minmax_kpca_linear,bayesian_gmm_diag,24,18,-0.09014759957790375,1.960561119264057,89.26565551757812,0.7746764578742655,0.6913431245409322,16,0.2762799692929341,,
standard_kpca_sigmoid,bayesian_gmm_diag,24,18,-0.07001649588346481,1.940355190920143,59.98124694824219,0.7371242802535383,0.6357061955021203,12,0.2746536025404013,,
minmax_scaled,bayesian_gmm_full,24,24,-0.05204523727297783,2.4635035775344396,63.576080322265625,0.7418145151991281,0.7084954220116141,20,0.27130524270363304,,
minmax_kpca_cosine,bayesian_gmm_diag,24,22,-0.09717206656932831,2.212331066302298,72.40457153320312,0.7787781857295162,0.7175302549163679,18,0.26773112997514853,,
robust_scaled,bayesian_gmm_full,24,24,-0.06862044334411621,2.08377084078418,56.739742279052734,0.71740198192676,0.6885180924129491,20,0.2654109728425883,,
