patient_key,heatmap_mse,heatmap_mae,heatmap_soft_dice,heatmap_corr,target_mask_pixels,pred_mask_fixed_pixels,dice_fixed_thresh,iou_fixed_thresh,dice_topk_same_area,iou_topk_same_area
S_184,0.10143151134252548,0.3154451847076416,0.036966197192668915,-0.22727420208277133,2494,0,4.009623095412953e-12,4.009623095412953e-12,0.09328283835141861,0.0489232699162682
S_185,0.09852853417396545,0.30993494391441345,0.03806741163134575,-0.2976765188399737,2597,0,3.850596842495762e-12,3.850596842495762e-12,0.07396169163839568,0.038400945255930685
S_186,0.09999295324087143,0.31235256791114807,0.0397530272603035,-0.321528740224436,2780,0,3.597122302145334e-12,3.597122302145334e-12,0.07464285714450956,0.03876831756809726
S_187,0.09640807658433914,0.3066365420818329,0.035885922610759735,-0.40522988182340547,3051,0,3.277613897072181e-12,3.277613897072181e-12,0.042435123226632225,0.02167750542100771
S_188,0.09949731826782227,0.31231924891471863,0.034287769347429276,-0.2537725498874338,2427,0,4.120313143781952e-12,4.120313143781952e-12,0.08974886784872428,0.04698275862274357
S_189,0.09776433557271957,0.3085615634918213,0.052339594811201096,-0.13198957724897345,3545,0,2.8208744710780795e-12,2.8208744710780795e-12,0.19361193189926323,0.10718180402070855
S_190,0.10018131881952286,0.3122909963130951,0.04162900894880295,-0.33577137227076315,2957,0,3.3818058843308022e-12,3.3818058843308022e-12,0.09152086137434132,0.04795486601014112
S_191,0.09997062385082245,0.31140708923339844,0.045695338398218155,-0.40412284180488683,3527,0,2.8352707683503394e-12,2.8352707683503394e-12,0.07202914798336318,0.037360081408580666
S_192,0.09682821482419968,0.30605030059814453,0.04800569638609886,-0.230236060676454,3378,0,2.9603315571256358e-12,2.9603315571256358e-12,0.13412112260098358,0.0718809373035594
S_193,0.0918048620223999,0.2988971471786499,0.04110029339790344,-0.2220665697835288,2936,0,3.405994550397119e-12,3.405994550397119e-12,0.07153703391416984,0.037095363081299924
S_194,0.09496892243623734,0.3035550117492676,0.03923846408724785,-0.2566805147155967,2804,0,3.5663338088317892e-12,3.5663338088317892e-12,0.1034666666682605,0.054555680541704996
S_195,0.09877431392669678,0.31068363785743713,0.040056731551885605,-0.2654312839319423,2882,0,3.4698126301059343e-12,3.4698126301059343e-12,0.09202873759991101,0.04823381746629329
S_196,0.08511044085025787,0.28711098432540894,0.046483054757118225,-0.1640078713493529,3717,0,2.690341673385283e-12,2.690341673385283e-12,0.07278098563304314,0.037764771461764546
S_197,0.09773410111665726,0.30896443128585815,0.03619556501507759,-0.25302148395683044,2509,0,3.985651654029552e-12,3.985651654029552e-12,0.06530773797928892,0.033756137481518504
